Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,651.3059068,664.1276663,716.5302656,869.7125993,921.2012673,930.8298181,949.1318328,1061.154026,1235.613366,1210.295426,1211.930338,1207.001434,1243.344597,1415.469385,1559.386504,1426.457864
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,4849.528816,5391.099956,6233.062541,8060.267559,9662.783667,10530.21601,11703.32597,13962.86487,16309.44842,14555.98765,13923.63705,14566.62973,13238.11795,13642.19778,13600.18618,11782.90255
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,2747.098575,2837.738018,2999.245244,3197.133754,3395.71205,3786.664795,4683.566155,5208.716073,5411.271418,5529.67036,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,14388.3467,14821.44552,16093.21868,20252.24214,23792.61793,24959.26591,26729.32675,31244.92801,35391.04006,32105.86748,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,23217.48415
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,6011.61522,6609.20553,8032.896612,9773.117503,11685.88724,13346.17639,15183.63605,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,768.1760767,780.9082226,791.3894782,818.8666298,863.2316123,904.7297489,967.6686229,1052.725652,1223.856861,1267.312801,1343.26873,1451.54298,1559.240651,2312.728803,2466.018332,2675.605374
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,4787.780171,4883.723663,4771.040927,4897.44175,5217.230416,5160.224314,5518.399108,5952.056669,6469.145738,6902.85717,6967.24523,7065.052968,6848.418234,7016.676471,7318.103783,7596.435062
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,2869.105861,2977.148428,3136.155187,2445.435893,2528.577199,3970.32284,4134.683785,4707.796708,5087.991118,5039.407423,5555.390949,5913.434422,6110.369521,6238.133097,6608.832257,6921.517371
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,1445.279324,1894.615169,2172.101877,2425.851842,2691.278081,3002.136867,3328.882972,3567.836438,4249.019262,4231.615798,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,1450.476242,1391.707846,1228.937975,1138.664673,1063.003663,1187.51969,1398.190624,1667.843721,2044.527855,2329.23948,2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,2001.538009,2072.299842,2124.102889,2209.496508,2278.431843,2428.569512,2631.820415,2786.157922,2933.395675,2858.47963,2983.242708,3266.045875,3428.384736,3509.53628,3588.965943,3705.540002
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,1725.554738,2313.151289,2744.208156,3618.576094,6152.131238,10963.28936,12857.33605,15908.39183,22942.58345,16667.93682,17272.00977,21613.54923,21712.39502,20384.92453,19368.23091,11278.92894
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,308.1337836,316.82382,293.9557909,334.5854429,407.7699765,388.5951226,415.0365994,439.8326905,450.6328403,595.1099872,667.7441778,811.3760286,..,..,..,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,4075.970639,4509.17846,5344.877798,7206.16648,8912.992195,10406.39688,12631.56777,16741.93912,18227.12008,14794.97079,14784.38108,17624.04414,17534.42154,19174.10073,20367.10266,17522.23019
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1728.705335,1521.767619,1405.441856,2148.619929,2699.133395,3083.826226,3176.700344,3327.44188,3137.396111,3385.842921,4168.505183,4496.60038,4527.668982,4230.344051,4038.55723,3689.518704
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,124.4608003,120.765782,111.9272235,119.490391,136.4662556,162.4327265,194.6874305,244.2860372,326.4368267,380.5690479,341.5541149,354.4795758,467.0779272,499.5315721,566.9264665,640.5418913
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,22653.31605,24419.74244,26732.79047,31497.96692,35467.17547,36205.37054,41522.54386,47885.69888,50866.0811,47447.87004,48530.23385,52083.88914,49459.71723,54853.6256,59440.03076,52404.65933
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2076.568784,2039.625697,2260.258398,2837.892246,3334.931667,3659.579329,3747.860716,4072.10157,4167.670285,3362.816555,3652.527437,4371.45751,4591.555784,4840.693716,5605.570331,5390.745237
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,24285.46682,24946.18919,26869.6749,32855.13263,37702.84538,39040.28888,41188.0937,48414.84509,53554.03892,47293.99283,46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42811.21299
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.62344,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,14323.82082,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,4125.716664,3989.556606,4121.958645,4922.376526,5729.296958,6888.627147,7214.914544,8447.078591,10212.81943,7690.052235,8840.730664,10795.50058,9814.038992,9680.824339,9650.574376,7381.746749
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,594.151643,505.4201497,411.7724804,335.906217,642.7549298,665.7219407,662.362461,780.3800991,924.5115164,833.2804027,860.6378737,762.7610541,742.7811378,700.514972,607.4284041,660.7235712
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,749.9085236,801.9904139,853.5164537,1010.00798,1305.047486,1642.760938,1996.057129,2635.353882,3324.735879,2822.66743,3233.295943,4021.743306,4421.818242,4623.729554,4739.203565,4014.185944
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,23635.92922,23607.88286,25077.72908,30243.57653,34044.05363,34507.36881,36323.44774,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,258.4709595,269.0149984,304.5645608,367.8215216,417.5081649,491.9463779,911.9986756,1078.160509,1210.622257,1074.75538,1298.436952,1558.482133,1613.286837,2378.159513,1968.858263,1766.005701
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,12042.95373,12538.17883,14110.31339,18477.57841,21955.10409,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,19004.10729,19275.47334,20652.87833,27459.76278,32023.45221,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,5057.173965,5040.670468,5213.896269,5682.5961,5741.598633,6644.02496,6658.540847,7212.506822,7832.423352,7290.6971,7257.756622,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,21536.36688,22572.0753,24395.79762,26495.87758,26555.6452,27542.22617,29056.31429,30026.50321,30700.43401,30859.40435,32494.56236,33265.38119,34394.09748,35278.92594
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,1655.58773,1568.376286,1701.749729,1753.327408,1872.737067,2077.834371,2256.56507,2489.948406,2794.176832,2635.716443,2825.483963,3187.866203,3299.665605,3452.922,3687.836951,3923.573344
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,363.482479,336.6300919,343.5373419,393.7399293,410.7612161,322.4156816,453.4035185,659.992723,715.0968204,674.0855502,672.4244026,651.1353635,717.0507379,769.0039433,787.2380702,769.2560137
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,308.1441193,319.6774918,331.4938718,371.2198274,404.3491366,436.3020197,429.6222659,493.0704969,597.5763927,557.1716148,557.6321326,702.7428804,616.4116862,634.482446,622.4817167,603.1585129
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,954.4041525,955.6653806,974.9491933,997.2100346,1056.423886,1105.496454,1954.133308,2331.200342,2566.887085,2756.819889,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.128516
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,467.1475588,417.762646,396.6338208,332.6147785,391.0346157,468.7572696,508.9688066,619.8127742,678.8447898,672.0369979,665.6274195,744.2174268,769.749381,815.8200152,831.8739489,815.7282844
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1080.462129,1120.552212,1122.063942,1145.497561,1204.476619,1296.695959,1420.136121,1572.065504,1727.827701,1789.706651,1904.346465,2088.3153,2144.342611,2102.593166,2206.051934,2302.201379
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,4624.281657,5276.033189,6655.333009,8421.103313,10285.79363,11200.57695,11475.82271,13918.96019,15753.47328,13046.48101,13113.52596,14150.96673,12918.24752,13687.2461,14246.1098,12651.56834
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,32018.06325,28793.9599,32326.63774,39423.92732,47367.28186,56658.58959,56673.59304,69054.2708,56409.77346,41333.41987,43024.92384,47516.87574,45910.0209,49522.23697,54242.05468,52428.59576
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,443.3141934,451.5730011,470.9867859,546.7266145,627.7742473,714.8610135,806.7532806,1028.334771,998.522339,1101.96084,1357.563719,1458.103527,1443.879529,1449.605912,1573.881492,1605.605431
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,780.190201,748.2576157,900.1775757,1065.648539,1150.261315,1263.287321,1589.801489,1860.002763,2166.854167,2261.247224,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,1670.00947,1909.412278,1911.678792,2253.936132,2756.198742,3246.051029,3774.357841,4904.666252,5630.442995,5677.888522,6603.212269,7818.057232,7927.647542,6111.440608,5608.602512,4916.085938
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,1391.963489,1855.522004,2373.214785,3182.947982,4636.610978,3853.940935,4657.280426,6045.495551,6836.027313,7076.554608,6818.804621,4989.803075
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,26241.36461,28227.72753,32541.0986,41106.92527,47631.01066,50878.22361,54306.42932,61359.74138,61262.10056,52105.15248,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,20322.94615,21352.21605,24864.43629,29520.0323,35492.43553,37761.03605,42106.80118,54194.98641,70994.40895,65031.33187,69766.52119,77351.95888,76104.68137,80431.6728,88974.22865,81606.28003
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,21043.57493,20306.93224,18435.89476,18979.32345,19896.81774,20566.64549,21837.37849,24924.33095,29567.80388,27715.63681,30693.59308,33669.24647,32511.23785,36309.46883,37678.88977,35776.79517
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,20087.59199,20483.21599,22270.14412,27465.6753,31259.7165,32043.14037,33501.65817,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,3384.694861,3431.416469,3599.973172,3469.151565,3725.109093,4089.198442,4321.043327,4633.944386,4917.718398,4316.231053,4704.054455,5111.471413,5209.851931,4989.171391,4833.790318,4907.50372
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,38532.04088,33846.46564,32289.35054,34808.39092,37688.72234,37217.64873,35433.98896,35275.22843,39339.29757,40855.17564,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,1674.825261,1744.463602,1827.335753,1902.589902,2073.641321,2214.017817,2548.268658,2773.740242,3398.151722,3504.00246,3690.113268,3816.279258,3877.339345,3998.027473,4072.765475,4105.448961
